Name	Value	Time
queueLength-average	0	2020-01-30T21:21:44.047Z
queueLength-value	0	2020-01-30T21:21:44.047Z
serverLoad-average	0	2020-01-30T21:21:44.047Z
serverLoad-value	0	2020-01-30T21:21:44.047Z
txTimeInQueue-average	0	2020-01-30T21:21:44.047Z
txInjected-average	0	2020-01-30T21:21:45.048Z
txInjected-total	0	2020-01-30T21:21:45.048Z
txApplied-average	0	2020-01-30T21:21:45.048Z
txApplied-total	0	2020-01-30T21:21:45.048Z
txRejected-average	0	2020-01-30T21:21:45.048Z
txRejected-total	0	2020-01-30T21:21:45.048Z
txExpired-average	0	2020-01-30T21:21:45.048Z
txExpired-total	0	2020-01-30T21:21:45.048Z
txProcessed-average	0	2020-01-30T21:21:45.048Z
txProcessed-total	0	2020-01-30T21:21:45.048Z
queueLength-average	0	2020-01-30T21:21:45.048Z
queueLength-value	0	2020-01-30T21:21:45.048Z
serverLoad-average	0	2020-01-30T21:21:45.048Z
serverLoad-value	0	2020-01-30T21:21:45.048Z
txTimeInQueue-average	0	2020-01-30T21:21:45.048Z
txInjected-average	0	2020-01-30T21:21:46.049Z
txInjected-total	0	2020-01-30T21:21:46.049Z
txApplied-average	0	2020-01-30T21:21:46.049Z
txApplied-total	0	2020-01-30T21:21:46.049Z
txRejected-average	0	2020-01-30T21:21:46.049Z
txRejected-total	0	2020-01-30T21:21:46.049Z
txExpired-average	0	2020-01-30T21:21:46.049Z
txExpired-total	0	2020-01-30T21:21:46.049Z
txProcessed-average	0	2020-01-30T21:21:46.049Z
txProcessed-total	0	2020-01-30T21:21:46.049Z
queueLength-average	0	2020-01-30T21:21:46.049Z
queueLength-value	0	2020-01-30T21:21:46.049Z
serverLoad-average	0	2020-01-30T21:21:46.049Z
serverLoad-value	0	2020-01-30T21:21:46.049Z
txTimeInQueue-average	0	2020-01-30T21:21:46.049Z
txInjected-average	0	2020-01-30T21:21:47.050Z
txInjected-total	0	2020-01-30T21:21:47.050Z
txApplied-average	0	2020-01-30T21:21:47.050Z
txApplied-total	0	2020-01-30T21:21:47.050Z
txRejected-average	0	2020-01-30T21:21:47.050Z
txRejected-total	0	2020-01-30T21:21:47.050Z
txExpired-average	0	2020-01-30T21:21:47.050Z
txExpired-total	0	2020-01-30T21:21:47.050Z
txProcessed-average	0	2020-01-30T21:21:47.050Z
txProcessed-total	0	2020-01-30T21:21:47.050Z
queueLength-average	0	2020-01-30T21:21:47.050Z
queueLength-value	0	2020-01-30T21:21:47.050Z
serverLoad-average	0	2020-01-30T21:21:47.050Z
serverLoad-value	0	2020-01-30T21:21:47.050Z
txTimeInQueue-average	0	2020-01-30T21:21:47.050Z
txInjected-average	0	2020-01-30T21:21:48.050Z
txInjected-total	0	2020-01-30T21:21:48.050Z
txApplied-average	0	2020-01-30T21:21:48.050Z
txApplied-total	0	2020-01-30T21:21:48.050Z
txRejected-average	0	2020-01-30T21:21:48.050Z
txRejected-total	0	2020-01-30T21:21:48.050Z
txExpired-average	0	2020-01-30T21:21:48.050Z
txExpired-total	0	2020-01-30T21:21:48.050Z
txProcessed-average	0	2020-01-30T21:21:48.050Z
txProcessed-total	0	2020-01-30T21:21:48.050Z
queueLength-average	0	2020-01-30T21:21:48.050Z
queueLength-value	0	2020-01-30T21:21:48.050Z
serverLoad-average	0	2020-01-30T21:21:48.050Z
serverLoad-value	0	2020-01-30T21:21:48.050Z
txTimeInQueue-average	0	2020-01-30T21:21:48.050Z
txInjected-average	0	2020-01-30T21:21:49.051Z
txInjected-total	0	2020-01-30T21:21:49.051Z
txApplied-average	0	2020-01-30T21:21:49.051Z
txApplied-total	0	2020-01-30T21:21:49.051Z
txRejected-average	0	2020-01-30T21:21:49.051Z
txRejected-total	0	2020-01-30T21:21:49.051Z
txExpired-average	0	2020-01-30T21:21:49.051Z
txExpired-total	0	2020-01-30T21:21:49.051Z
txProcessed-average	0	2020-01-30T21:21:49.051Z
txProcessed-total	0	2020-01-30T21:21:49.051Z
queueLength-average	0	2020-01-30T21:21:49.051Z
queueLength-value	0	2020-01-30T21:21:49.051Z
serverLoad-average	0	2020-01-30T21:21:49.051Z
serverLoad-value	0	2020-01-30T21:21:49.051Z
txTimeInQueue-average	0	2020-01-30T21:21:49.051Z
txInjected-average	0	2020-01-30T21:21:50.051Z
txInjected-total	0	2020-01-30T21:21:50.051Z
txApplied-average	0	2020-01-30T21:21:50.051Z
txApplied-total	0	2020-01-30T21:21:50.051Z
txRejected-average	0	2020-01-30T21:21:50.051Z
txRejected-total	0	2020-01-30T21:21:50.051Z
txExpired-average	0	2020-01-30T21:21:50.051Z
txExpired-total	0	2020-01-30T21:21:50.051Z
txProcessed-average	0	2020-01-30T21:21:50.051Z
txProcessed-total	0	2020-01-30T21:21:50.051Z
queueLength-average	0	2020-01-30T21:21:50.051Z
queueLength-value	0	2020-01-30T21:21:50.051Z
serverLoad-average	0	2020-01-30T21:21:50.051Z
serverLoad-value	0	2020-01-30T21:21:50.051Z
txTimeInQueue-average	0	2020-01-30T21:21:50.051Z
txInjected-average	0	2020-01-30T21:21:51.052Z
txInjected-total	0	2020-01-30T21:21:51.052Z
txApplied-average	0	2020-01-30T21:21:51.052Z
txApplied-total	0	2020-01-30T21:21:51.052Z
txRejected-average	0	2020-01-30T21:21:51.052Z
txRejected-total	0	2020-01-30T21:21:51.052Z
txExpired-average	0	2020-01-30T21:21:51.052Z
txExpired-total	0	2020-01-30T21:21:51.052Z
txProcessed-average	0	2020-01-30T21:21:51.052Z
txProcessed-total	0	2020-01-30T21:21:51.052Z
queueLength-average	0	2020-01-30T21:21:51.052Z
queueLength-value	0	2020-01-30T21:21:51.052Z
serverLoad-average	0	2020-01-30T21:21:51.052Z
serverLoad-value	0	2020-01-30T21:21:51.052Z
txTimeInQueue-average	0	2020-01-30T21:21:51.052Z
txInjected-average	0	2020-01-30T21:21:52.053Z
txInjected-total	0	2020-01-30T21:21:52.053Z
txApplied-average	0	2020-01-30T21:21:52.053Z
txApplied-total	0	2020-01-30T21:21:52.053Z
