Name	Value	Time
queueLength-value	0	2019-12-25T00:43:04.738Z
serverLoad-average	0	2019-12-25T00:43:04.738Z
serverLoad-value	0	2019-12-25T00:43:04.738Z
txTimeInQueue-average	0	2019-12-25T00:43:04.738Z
txInjected-average	0	2019-12-25T00:43:05.740Z
txInjected-total	0	2019-12-25T00:43:05.740Z
txApplied-average	0	2019-12-25T00:43:05.740Z
txApplied-total	0	2019-12-25T00:43:05.740Z
txRejected-average	0	2019-12-25T00:43:05.740Z
txRejected-total	0	2019-12-25T00:43:05.740Z
txExpired-average	0	2019-12-25T00:43:05.740Z
txExpired-total	0	2019-12-25T00:43:05.740Z
txProcessed-average	0	2019-12-25T00:43:05.740Z
txProcessed-total	0	2019-12-25T00:43:05.740Z
queueLength-average	0	2019-12-25T00:43:05.740Z
queueLength-value	0	2019-12-25T00:43:05.740Z
serverLoad-average	0	2019-12-25T00:43:05.740Z
serverLoad-value	0	2019-12-25T00:43:05.740Z
txTimeInQueue-average	0	2019-12-25T00:43:05.740Z
txInjected-average	0	2019-12-25T00:43:06.745Z
txInjected-total	0	2019-12-25T00:43:06.745Z
txApplied-average	0	2019-12-25T00:43:06.745Z
txApplied-total	0	2019-12-25T00:43:06.745Z
txRejected-average	0	2019-12-25T00:43:06.745Z
txRejected-total	0	2019-12-25T00:43:06.745Z
txExpired-average	0	2019-12-25T00:43:06.745Z
txExpired-total	0	2019-12-25T00:43:06.745Z
txProcessed-average	0	2019-12-25T00:43:06.745Z
txProcessed-total	0	2019-12-25T00:43:06.745Z
queueLength-average	0	2019-12-25T00:43:06.745Z
queueLength-value	0	2019-12-25T00:43:06.745Z
serverLoad-average	0	2019-12-25T00:43:06.745Z
serverLoad-value	0	2019-12-25T00:43:06.745Z
txTimeInQueue-average	0	2019-12-25T00:43:06.745Z
txInjected-average	0	2019-12-25T00:43:07.745Z
txInjected-total	0	2019-12-25T00:43:07.745Z
txApplied-average	0	2019-12-25T00:43:07.745Z
txApplied-total	0	2019-12-25T00:43:07.745Z
txRejected-average	0	2019-12-25T00:43:07.745Z
txRejected-total	0	2019-12-25T00:43:07.745Z
txExpired-average	0	2019-12-25T00:43:07.745Z
